topology,seed,generation,best_fitness,mean_fitness,diversity_total,diversity_between,diversity_within
ring,1,0,0.755213,0.141073,0.500034,0.177670,0.502033
ring,1,1,0.755213,0.371871,0.449989,0.227579,0.415285
ring,1,2,0.755213,0.501507,0.433892,0.361671,0.306708
ring,1,3,0.767048,0.528616,0.435902,0.382178,0.301555
ring,1,4,0.767048,0.569378,0.400102,0.359295,0.268225
ring,1,5,0.767048,0.529663,0.405474,0.359230,0.283574
ring,1,6,0.769864,0.609242,0.388480,0.272655,0.327803
ring,1,7,0.769864,0.490126,0.380129,0.179114,0.360146
ring,1,8,0.775466,0.460704,0.393141,0.203427,0.362785
ring,1,9,0.775466,0.535758,0.390978,0.271001,0.328535
ring,2,0,0.687648,0.109031,0.512986,0.175721,0.515546
ring,2,1,0.687648,0.237417,0.493181,0.197854,0.477107
ring,2,2,0.769886,0.366087,0.484195,0.311012,0.399325
ring,2,3,0.769886,0.470719,0.434916,0.305835,0.341747
ring,2,4,0.769886,0.464134,0.418225,0.344553,0.304036
ring,2,5,0.769886,0.507792,0.451956,0.363744,0.334944
ring,2,6,0.770010,0.597335,0.406585,0.301266,0.334157
ring,2,7,0.770010,0.479700,0.442706,0.340791,0.339671
ring,2,8,0.770010,0.449144,0.455227,0.355240,0.336728
ring,2,9,0.770010,0.507443,0.455675,0.323494,0.362658
ring,3,0,0.709529,0.182683,0.479794,0.190608,0.477047
ring,3,1,0.756786,0.350408,0.511523,0.248867,0.472204
ring,3,2,0.756786,0.425115,0.499144,0.286774,0.438739
ring,3,3,0.776530,0.519002,0.525718,0.378064,0.415725
ring,3,4,0.776530,0.521610,0.487294,0.274502,0.416429
ring,3,5,0.776530,0.480070,0.479650,0.324262,0.389984
ring,3,6,0.776530,0.591795,0.470624,0.196449,0.462559
ring,3,7,0.776530,0.505880,0.443809,0.194575,0.435762
ring,3,8,0.776530,0.496109,0.464585,0.119983,0.477563
ring,3,9,0.776530,0.538697,0.485891,0.151046,0.492107